record_id,equipment_id,equipment_type,manufacturer,model_year,mine_type,country,operating_hours,event_date,event_type,failure_mode,component_failed,severity,downtime_hours,repair_cost_usd,production_loss_tonnes,maintenance_type,was_scheduled,days_since_last_service,oil_analysis_flag,vibration_flag,temperature_flag
EQP-6BBA66A1,UNIT-4333,haul_truck,Caterpillar,2009,open_pit,drc,61147,8/27/2020,condition_based,transmission,gearbox,routine,1.7,6230.87,144,predictive,FALSE,4,TRUE,FALSE,FALSE
EQP-65F93B93,UNIT-1687,crusher,Metso,2018,processing_plant,south_africa,23097,12/6/2021,scheduled_maintenance,preventive,oil_change,routine,11.8,9906.75,2484,preventive,TRUE,56,TRUE,FALSE,FALSE
EQP-957CC4C2,UNIT-5225,pump,Metso,2023,open_pit,zimbabwe,2902,10/10/2020,scheduled_maintenance,preventive,filter_replace,minor,5.9,4194.93,440,preventive,TRUE,74,FALSE,FALSE,FALSE
EQP-295C4C82,UNIT-8160,haul_truck,Hitachi,2016,underground,drc,33950,10/8/2024,scheduled_maintenance,preventive,oil_change,routine,2.8,5912.06,362,preventive,TRUE,32,FALSE,FALSE,FALSE
EQP-2D5F5567,UNIT-2705,conveyor,ThyssenKrupp,2023,processing_plant,south_africa,3990,1/27/2024,breakdown,gearbox,general_component,critical,21.6,98155.64,10780,corrective,FALSE,29,FALSE,TRUE,FALSE
EQP-9B223007,UNIT-5166,loader,Komatsu,2013,underground,zambia,44091,4/30/2022,breakdown,hydraulics,pump,major,16.7,30916.35,1145,corrective,FALSE,94,TRUE,FALSE,FALSE
EQP-72D6FFAF,UNIT-2169,loader,Komatsu,2022,open_pit,tanzania,7260,6/19/2020,breakdown,engine,head_gasket,major,15.8,25783.2,1324,corrective,FALSE,24,FALSE,FALSE,TRUE
EQP-8AE0F3D8,UNIT-7177,conveyor,FLSmidth,2023,underground,zambia,4215,11/10/2024,condition_based,motor,general_component,routine,1.8,1254.53,753,predictive,FALSE,31,FALSE,TRUE,TRUE
EQP-A8548F35,UNIT-5280,conveyor,ThyssenKrupp,2017,open_pit,drc,29715,7/28/2023,breakdown,gearbox,general_component,major,8.5,17753.1,2516,corrective,FALSE,20,FALSE,FALSE,FALSE
EQP-60EC4EDD,UNIT-3971,crusher,Metso,2019,open_pit,tanzania,20254,11/25/2020,scheduled_maintenance,preventive,oil_change,routine,8.9,5942.62,2193,preventive,TRUE,5,TRUE,FALSE,FALSE
EQP-A21FC492,UNIT-3041,loader,Caterpillar,2016,processing_plant,south_africa,33064,4/7/2020,breakdown,electrical,starter,major,19.5,46196.18,1832,corrective,FALSE,120,FALSE,FALSE,FALSE
EQP-D6D742D7,UNIT-6079,haul_truck,Caterpillar,2013,open_pit,zambia,44028,1/20/2023,breakdown,brakes,general_component,major,19.4,43764.07,2264,corrective,FALSE,118,FALSE,FALSE,TRUE
EQP-AFD2652E,UNIT-7027,grader,Caterpillar,2016,open_pit,drc,30974,3/14/2020,scheduled_maintenance,preventive,filter_replace,minor,10.1,15783.03,149,preventive,TRUE,86,FALSE,FALSE,FALSE
EQP-9279872F,UNIT-9461,haul_truck,Komatsu,2023,open_pit,south_africa,3316,1/10/2023,inspection,preventive,oil_change,minor,11.1,13470.31,1372,preventive,TRUE,13,TRUE,FALSE,FALSE
EQP-9A51FC11,UNIT-4933,loader,Volvo,2008,open_pit,botswana,62882,3/7/2022,scheduled_maintenance,preventive,oil_change,routine,3.5,5054.3,316,preventive,TRUE,11,FALSE,FALSE,FALSE
EQP-FF8F12D9,UNIT-2446,haul_truck,Hitachi,2011,underground,drc,52217,5/3/2024,inspection,preventive,inspection,routine,2.3,7287.82,211,preventive,TRUE,71,FALSE,FALSE,FALSE
EQP-7A4D6B72,UNIT-8493,haul_truck,Komatsu,2015,underground,ghana,37223,11/18/2021,breakdown,engine,turbo,major,12.9,52479.52,1125,corrective,FALSE,11,FALSE,TRUE,FALSE
EQP-0EA7AAF6,UNIT-6667,haul_truck,Caterpillar,2013,underground,south_africa,44161,3/17/2022,scheduled_maintenance,preventive,inspection,routine,3.6,2695.52,446,preventive,TRUE,4,TRUE,FALSE,FALSE
EQP-3DF830A1,UNIT-7301,drill_rig,Epiroc,2017,open_pit,botswana,27692,9/9/2022,breakdown,drill_string,general_component,major,16.7,46711.4,432,corrective,FALSE,86,FALSE,FALSE,FALSE
EQP-8ABBA3B7,UNIT-1874,excavator,Komatsu,2013,open_pit,tanzania,43210,11/4/2024,scheduled_maintenance,preventive,filter_replace,routine,3.7,5218.72,675,preventive,TRUE,5,FALSE,FALSE,FALSE
EQP-933B3C98,UNIT-3810,haul_truck,Belaz,2018,open_pit,south_africa,24355,6/18/2023,breakdown,tires,front_left,major,14.5,54485.6,1416,corrective,FALSE,70,TRUE,FALSE,FALSE
EQP-49806335,UNIT-7909,drill_rig,Epiroc,2009,underground,zambia,58761,4/19/2023,breakdown,compressor,general_component,major,15.1,21471.2,419,corrective,FALSE,52,FALSE,FALSE,FALSE
EQP-E2242B1E,UNIT-8489,drill_rig,Epiroc,2013,underground,south_africa,42865,7/11/2021,condition_based,hydraulics,hose,routine,2.6,2392.42,115,predictive,FALSE,6,FALSE,FALSE,FALSE
EQP-9DC546E1,UNIT-4916,loader,Volvo,2019,underground,zimbabwe,20900,5/19/2022,condition_based,electrical,battery,routine,4.2,3868.58,257,predictive,FALSE,32,TRUE,FALSE,FALSE
EQP-E940FD52,UNIT-8242,grader,Caterpillar,2015,processing_plant,drc,35722,12/15/2020,breakdown,blade,general_component,minor,4.6,12315.83,64,corrective,FALSE,94,FALSE,FALSE,FALSE
EQP-D87020F0,UNIT-8574,crusher,Sandvik,2019,underground,south_africa,19702,12/5/2021,inspection,preventive,inspection,routine,11.9,14413.75,2524,preventive,TRUE,11,FALSE,FALSE,FALSE
EQP-B41BC2FE,UNIT-4486,haul_truck,Hitachi,2018,open_pit,zambia,23830,1/19/2024,condition_based,engine,injector,routine,2.9,5000.98,396,predictive,FALSE,32,FALSE,FALSE,FALSE
EQP-DEEB97B0,UNIT-9081,excavator,Komatsu,2013,underground,botswana,44725,6/28/2020,scheduled_maintenance,preventive,inspection,routine,4.6,4171.19,582,preventive,TRUE,8,FALSE,FALSE,FALSE
EQP-DE16D037,UNIT-3594,grader,Caterpillar,2014,underground,ghana,40165,10/24/2020,scheduled_maintenance,preventive,oil_change,routine,1.7,2582.94,28,preventive,TRUE,150,FALSE,FALSE,FALSE
EQP-26FD23A8,UNIT-3155,haul_truck,Komatsu,2023,processing_plant,south_africa,3256,11/20/2022,breakdown,hydraulics,pump,minor,4.1,9095.73,615,corrective,FALSE,43,FALSE,FALSE,TRUE
EQP-3D2B3823,UNIT-7141,drill_rig,Sandvik,2023,open_pit,botswana,3292,12/8/2023,inspection,preventive,oil_change,routine,1.4,1592.39,56,preventive,TRUE,33,FALSE,FALSE,FALSE
EQP-577F8110,UNIT-6730,pump,KSB,2008,underground,south_africa,63804,10/21/2024,scheduled_maintenance,preventive,adjustment,routine,1.3,962.94,74,preventive,TRUE,119,TRUE,FALSE,FALSE
EQP-C07A2327,UNIT-2257,pump,Weir,2019,open_pit,drc,20302,11/22/2022,breakdown,seal,general_component,minor,5.8,2133.54,372,corrective,FALSE,42,FALSE,FALSE,FALSE
EQP-6E782A93,UNIT-8493,drill_rig,Sandvik,2015,underground,drc,35964,3/28/2023,breakdown,hydraulics,filter,critical,48.6,61298.63,1865,corrective,FALSE,40,FALSE,FALSE,FALSE
EQP-21681CDB,UNIT-2798,crusher,FLSmidth,2008,processing_plant,south_africa,63875,6/4/2021,breakdown,bearing,general_component,major,72,60660.87,14281,corrective,FALSE,91,FALSE,FALSE,TRUE
EQP-194A28DB,UNIT-8243,drill_rig,Epiroc,2018,processing_plant,south_africa,24046,1/7/2022,scheduled_maintenance,preventive,inspection,minor,7.1,7726.84,269,preventive,TRUE,22,FALSE,FALSE,FALSE
EQP-D97E3622,UNIT-1066,loader,Volvo,2008,open_pit,south_africa,63963,7/19/2021,scheduled_maintenance,preventive,adjustment,routine,2.3,5162.59,177,preventive,TRUE,55,FALSE,FALSE,FALSE
EQP-52E9EE02,UNIT-8170,haul_truck,Hitachi,2013,open_pit,south_africa,43219,7/15/2020,overhaul,transmission,gearbox,major,20.3,45813.15,2642,major_overhaul,TRUE,39,TRUE,TRUE,FALSE
EQP-A20FEC3F,UNIT-8081,haul_truck,Komatsu,2019,underground,drc,21107,10/29/2021,breakdown,electrical,starter,major,19.7,70610.34,2398,corrective,FALSE,25,FALSE,FALSE,FALSE
EQP-E92ECCC8,UNIT-8022,conveyor,FLSmidth,2021,underground,tanzania,11517,1/26/2021,scheduled_maintenance,preventive,adjustment,minor,5.5,9137.03,2335,preventive,TRUE,24,FALSE,FALSE,FALSE
EQP-1C2A3F40,UNIT-6982,haul_truck,Caterpillar,2014,processing_plant,south_africa,40129,11/29/2022,breakdown,electrical,sensors,major,18.5,68855.53,1690,corrective,FALSE,7,TRUE,FALSE,FALSE
EQP-8F5165E1,UNIT-5243,crusher,Sandvik,2020,open_pit,zimbabwe,13939,9/18/2023,scheduled_maintenance,preventive,inspection,minor,17.9,24534.06,3821,preventive,TRUE,23,TRUE,FALSE,FALSE
EQP-6973DF46,UNIT-7345,excavator,Hitachi,2021,processing_plant,drc,11784,10/29/2024,condition_based,electrical,starter,routine,5,4739.14,913,predictive,FALSE,4,FALSE,FALSE,FALSE
EQP-340F31CB,UNIT-3493,grader,Komatsu,2015,underground,south_africa,34900,5/3/2024,overhaul,tires,rear_right,major,21,27239.92,368,major_overhaul,TRUE,45,TRUE,FALSE,FALSE
EQP-EE4B37CC,UNIT-8025,loader,Volvo,2010,open_pit,drc,55020,7/26/2021,condition_based,tires,front_left,routine,3.5,3271.65,207,predictive,FALSE,8,FALSE,TRUE,FALSE
EQP-3CF4F296,UNIT-6000,drill_rig,Sandvik,2018,open_pit,ghana,26422,8/16/2024,breakdown,hydraulics,pump,major,9.9,22397.01,263,corrective,FALSE,3,TRUE,FALSE,FALSE
EQP-5A4D977F,UNIT-5129,loader,Caterpillar,2008,underground,zambia,64249,8/22/2024,inspection,preventive,oil_change,minor,9.1,10300,752,preventive,TRUE,169,FALSE,FALSE,FALSE
EQP-10D6BB2E,UNIT-5549,excavator,Hitachi,2022,open_pit,ghana,9226,6/25/2022,inspection,preventive,adjustment,routine,5.4,6961.74,780,preventive,TRUE,61,FALSE,FALSE,FALSE
EQP-64400A31,UNIT-6118,drill_rig,Sandvik,2014,underground,zambia,40855,1/4/2021,breakdown,compressor,general_component,minor,4.8,15148.1,169,corrective,FALSE,103,FALSE,FALSE,FALSE
EQP-5A14A6B1,UNIT-1335,haul_truck,Hitachi,2020,underground,botswana,16983,10/31/2023,overhaul,hydraulics,filter,major,20.8,46409.45,1599,major_overhaul,TRUE,23,FALSE,FALSE,TRUE
EQP-00BAC0BA,UNIT-2258,grader,Komatsu,2019,open_pit,south_africa,19800,7/22/2020,condition_based,transmission,clutch,routine,2.2,1750.39,30,predictive,FALSE,39,FALSE,FALSE,FALSE
EQP-67E7D39E,UNIT-3209,loader,Caterpillar,2015,open_pit,botswana,37606,10/11/2021,condition_based,engine,head_gasket,routine,3,4013.12,177,predictive,FALSE,4,TRUE,FALSE,TRUE
EQP-E3E26DE4,UNIT-2030,grader,Komatsu,2023,processing_plant,south_africa,4846,8/15/2022,scheduled_maintenance,preventive,inspection,minor,6.7,11961.61,69,preventive,TRUE,15,FALSE,FALSE,FALSE
EQP-FAC248CD,UNIT-4956,grader,Komatsu,2020,underground,south_africa,16041,4/3/2024,breakdown,blade,general_component,minor,5.1,12531.81,71,corrective,FALSE,21,TRUE,FALSE,FALSE
EQP-2EE7774D,UNIT-7014,pump,KSB,2022,underground,south_africa,8263,10/23/2024,condition_based,seal,general_component,routine,1.2,1697.54,109,predictive,FALSE,100,FALSE,FALSE,FALSE
EQP-BB1B58A7,UNIT-6889,haul_truck,Caterpillar,2009,underground,tanzania,59863,1/12/2024,scheduled_maintenance,preventive,inspection,routine,3.3,5003.25,468,preventive,TRUE,26,TRUE,TRUE,FALSE
EQP-57500E57,UNIT-5239,grader,Caterpillar,2015,underground,zimbabwe,36052,5/22/2022,overhaul,transmission,clutch,major,16.8,25092.97,208,major_overhaul,TRUE,54,FALSE,FALSE,FALSE
EQP-A0D2D4F7,UNIT-8694,conveyor,Metso,2023,processing_plant,botswana,3956,6/1/2020,breakdown,belt,general_component,minor,3.2,5109.17,1020,corrective,FALSE,64,FALSE,FALSE,FALSE
EQP-571CC3AA,UNIT-6086,drill_rig,Sandvik,2021,underground,zimbabwe,12381,12/10/2023,scheduled_maintenance,preventive,oil_change,routine,2.5,1137.36,69,preventive,TRUE,1,FALSE,FALSE,FALSE
EQP-BE431594,UNIT-1712,conveyor,Metso,2015,underground,drc,37739,3/22/2024,condition_based,belt,general_component,minor,4.1,5622.69,1957,predictive,FALSE,2,FALSE,FALSE,FALSE
EQP-980D1872,UNIT-7884,excavator,Komatsu,2009,open_pit,tanzania,58794,4/30/2022,scheduled_maintenance,preventive,oil_change,routine,4,8950.24,426,preventive,TRUE,188,FALSE,FALSE,FALSE
EQP-4374E4BF,UNIT-6170,excavator,Caterpillar,2012,open_pit,botswana,49142,9/24/2022,scheduled_maintenance,preventive,adjustment,routine,5.3,7021.3,1027,preventive,TRUE,28,FALSE,FALSE,FALSE
